uo_cod;uo_sigla;fonte_cod;fonte_desc;analise_dcmefo
1511;PCMG;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1511;PCMG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1511;PCMG;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
1511;PCMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1511;PCMG;70;CONVENIOS COM OS MUNICIPIOS;
1511;PCMG;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1511;PCMG;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1521;CGE;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1521;CGE;59;OUTROS RECURSOS VINCULADOS;
1541;ESP MG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
1541;ESP MG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1911;EGE - SEF;11;RECURSOS DE DESVINCULACAO DE RECEITAS;
1911;EGE - SEF;15;RECURSOS ORDINARIOS - OUTROS RECURSOS NAO VINCULADOS;
1911;EGE - SEF;20;RECURSOS CONSTITUC.VINCULADOS AOS MUNICIPIOS;
1911;EGE - SEF;23;FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA - FUNDEB;
1911;EGE - SEF;25;OPERACOES DE CREDITO CONTRATUAIS;
1911;EGE - SEF;27;TAXA DE SEGURANCA PUBLICA;
1911;EGE - SEF;53;TAXA DE INCENDIO;
1911;EGE - SEF;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;
1911;EGE - SEF;72;TAXA DE FISCALIZACAO DE RECURSOS MINERARIOS;
1911;EGE - SEF;82;NOTIFICACAO DE INFRACAO DE TRANSITO ESTADO;
2011;IPSEMG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2011;IPSEMG;49;CONTRIBUICAO PATRONAL DO ESTADO AOS INSTITUTOS DE PREVIDENCIA;
2011;IPSEMG;50;CONTRIBUICAO DO SERVIDOR DO ESTADO AOS INSTITUTOS DE PREVIDENCIA;
2011;IPSEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2041;LEMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2061;FJP;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2061;FJP;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2061;FJP;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;Receita com alienação
2061;FJP;60;RECURSOS DIRETAMENTE ARRECADADOS;
2071;FAPEMIG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
2071;FAPEMIG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2071;FAPEMIG;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2071;FAPEMIG;60;RECURSOS DIRETAMENTE ARRECADADOS;
2071;FAPEMIG;68;CONVENIOS COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
2071;FAPEMIG;69;CONVENIOS COM OS ESTADOS E O DISTRITO FEDERAL;
2091;FEAM;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
2091;FEAM;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
2091;FEAM;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
2091;FEAM;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;
2091;FEAM;52;TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL;
2091;FEAM;59;OUTROS RECURSOS VINCULADOS;
2091;FEAM;60;RECURSOS DIRETAMENTE ARRECADADOS;
2091;FEAM;79;CONTRIBUICAO PATRONAL PARA O FUNPREV;
2091;FEAM;91;TAXA DE EXPEDIENTE - ADMINISTRACAO INDIRETA;
